2020-04-15 20:01:59,182: custodian.cache:DEBUG Disabling cache
2020-04-15 20:01:59,183: custodian.commands:DEBUG Loaded file /home/custodian/ebs-snap-policy.yml. Contains 1 policies
2020-04-15 20:01:59,198: custodian.aws:DEBUG using default region:us-west-1 from boto
2020-04-15 20:01:59,546: custodian.reports:DEBUG Found 1083 records for region us-west-1
2020-04-15 20:01:59,547: custodian.reports:DEBUG Uniqued from 1083 to 1083
SnapshotId,VolumeId,tag:InstanceId,VolumeSize,StartTime,State
snap-0bf56bd4641636206,vol-01bf4351fbc0ea942,,250,2018-11-26T06:19:15+00:00,completed
snap-001167d7e0ffc1dd4,vol-01bf4351fbc0ea942,,250,2018-11-25T06:19:16+00:00,completed
snap-0d144eccc076f4680,vol-01bf4351fbc0ea942,,250,2018-11-24T06:19:16+00:00,completed
snap-0c3e43e6d441f8caf,vol-01bf4351fbc0ea942,,250,2018-11-23T06:19:16+00:00,completed
snap-0e6cce2c4e60027fa,vol-01bf4351fbc0ea942,,250,2018-11-22T06:19:16+00:00,completed
snap-0000a6c1aebb2e1a6,vol-01bf4351fbc0ea942,,250,2018-11-21T06:19:15+00:00,completed
snap-0135f4aa09b53d12c,vol-01bf4351fbc0ea942,,250,2018-11-20T06:19:16+00:00,completed
snap-0b9fef7479f02e9f8,vol-01bf4351fbc0ea942,,250,2018-11-19T06:19:16+00:00,completed
snap-03a43d148ceaa8cd2,vol-01bf4351fbc0ea942,,250,2018-11-18T06:19:16+00:00,completed
snap-0f4662705f1358a68,vol-01bf4351fbc0ea942,,250,2018-11-17T06:19:16+00:00,completed
snap-0a70082e395b604c7,vol-01bf4351fbc0ea942,,250,2018-11-16T06:19:16+00:00,completed
snap-06252957bd619b84b,vol-01bf4351fbc0ea942,,250,2018-11-15T06:19:15+00:00,completed
snap-005bac4f133ffc7a3,vol-01bf4351fbc0ea942,,250,2018-11-14T06:19:16+00:00,completed
snap-01b7efe4f471a7c04,vol-01bf4351fbc0ea942,,250,2018-11-13T06:19:16+00:00,completed
snap-0f66c555068914855,vol-06f973a2d0946145b,,40,2018-11-13T04:11:48+00:00,completed
snap-07fff9f5ee524ddee,vol-01bf4351fbc0ea942,,250,2018-11-12T06:19:16+00:00,completed
snap-02b665a88f00ab938,vol-06f973a2d0946145b,,40,2018-11-12T04:11:48+00:00,completed
snap-0a8226e4c6f6bb9bb,vol-03dc1b5440e529777,,20,2018-11-11T13:20:31+00:00,completed
snap-02a82e1aa8184f833,vol-096fe4923ee509e29,,50,2018-11-11T13:20:26+00:00,completed
snap-002c74654f0074461,vol-06f973a2d0946145b,,40,2018-11-11T13:20:29+00:00,completed
snap-08a282c48b0d05fa3,vol-04e140a4fc9c6ca0d,,70,2018-11-11T13:20:29+00:00,completed
snap-0079d1edf3a98e0e3,vol-02e9a679dbffd8489,,100,2018-11-11T13:20:31+00:00,completed
snap-00276afde644259cc,vol-0088665649d8db10f,,20,2018-11-11T13:20:30+00:00,completed
snap-0efaac93947cddba8,vol-0597eb8f34d135ecd,,20,2018-11-11T13:20:26+00:00,completed
snap-0fb9b370f0b9ca218,vol-01bf4351fbc0ea942,,250,2018-11-11T13:20:29+00:00,completed
snap-072a856bfb167797e,vol-0740c7f6c7b76a002,,8,2018-11-11T13:20:30+00:00,completed
snap-0746614078168e0e0,vol-00d6a9148a45e8974,,20,2018-11-11T13:20:27+00:00,completed
snap-02ce113773d4f57ee,vol-02aaf5b8edd0e346a,,8,2018-11-11T13:20:26+00:00,completed
snap-09138cdfa68f2712b,vol-0c6e40578f7933657,,250,2018-11-11T13:20:31+00:00,completed
snap-002425e81c9c023a6,vol-070e83d1fd767bfb8,,20,2018-11-11T13:20:28+00:00,completed
snap-0b959083d3e8bd40a,vol-01bf4351fbc0ea942,,250,2018-11-11T06:19:16+00:00,completed
snap-0abcac5a4f62b6021,vol-06f973a2d0946145b,,40,2018-11-11T04:11:48+00:00,completed
snap-06e810202f66d90d0,vol-01bf4351fbc0ea942,,250,2018-11-10T06:19:15+00:00,completed
snap-0b37e11417e2ba017,vol-0b615dd3ae8169944,,150,2018-11-10T04:06:10+00:00,completed
snap-0c42526f29a532784,vol-08f910b03caeec091,,20,2018-11-10T04:07:14+00:00,completed
snap-0a37d9436272ef8ec,vol-06f973a2d0946145b,,40,2018-11-10T04:11:48+00:00,completed
snap-0e9934807c755cc84,vol-0e975bbe4ca2b0e2a,,20,2018-11-10T04:06:10+00:00,completed
snap-04f3d050a2e8e71c5,vol-01bf4351fbc0ea942,,250,2018-11-09T06:19:15+00:00,completed
snap-0c5b7e118dc73e33c,vol-06f973a2d0946145b,,40,2018-11-09T04:11:48+00:00,completed
snap-071d8806ae041c5c9,vol-01bf4351fbc0ea942,,250,2018-11-08T06:19:15+00:00,completed
snap-0c20d3d41bb36331f,vol-06f973a2d0946145b,,40,2018-11-08T04:11:48+00:00,completed
snap-0bc97a162bd7382fb,vol-01bf4351fbc0ea942,,250,2018-11-07T06:19:16+00:00,completed
snap-09316d29d74abfd8d,vol-06f973a2d0946145b,,40,2018-11-07T04:11:48+00:00,completed
snap-0f68295c44a42d69f,vol-01bf4351fbc0ea942,,250,2018-11-06T06:19:16+00:00,completed
snap-087e35d2b465fbe7f,vol-06f973a2d0946145b,,40,2018-11-06T04:11:48+00:00,completed
snap-00ad8c2e837dfbdca,vol-01bf4351fbc0ea942,,250,2018-11-05T06:19:16+00:00,completed
snap-0f810c157a24d76cd,vol-06f973a2d0946145b,,40,2018-11-05T04:11:48+00:00,completed
snap-0f4f3902e6c7f72c5,vol-01bf4351fbc0ea942,,250,2018-11-04T06:19:16+00:00,completed
snap-0a439f9c1e1782e5e,vol-06f973a2d0946145b,,40,2018-11-04T04:11:49+00:00,completed
snap-0c89d3920b73c01aa,vol-01bf4351fbc0ea942,,250,2018-11-03T06:19:16+00:00,completed
snap-0b64ae634b6c9ed11,vol-06f973a2d0946145b,,40,2018-11-03T04:11:49+00:00,completed
snap-0a3828f098a07b26d,vol-01bf4351fbc0ea942,,250,2018-11-02T06:19:15+00:00,completed
snap-087899f86b5131cca,vol-06f973a2d0946145b,,40,2018-11-02T04:11:48+00:00,completed
snap-045307117179ae8c0,vol-01bf4351fbc0ea942,,250,2018-11-01T06:19:15+00:00,completed
snap-030d5b17d099f0178,vol-06f973a2d0946145b,,40,2018-11-01T04:11:48+00:00,completed
snap-030ca6344ca4e8a40,vol-01bf4351fbc0ea942,,250,2018-10-31T06:19:16+00:00,completed
snap-09e0061811dd54402,vol-06f973a2d0946145b,,40,2018-10-31T04:11:48+00:00,completed
snap-0fc4836cf91e4a8f0,vol-0c7bf0f4e2f6863bb,,40,2018-10-30T21:35:29+00:00,completed
snap-0367a7dd85a7af940,vol-0088665649d8db10f,,20,2018-10-30T20:00:37+00:00,completed
snap-0aa59da4828ce8d59,vol-0c6e40578f7933657,,250,2018-10-30T20:00:37+00:00,completed
snap-004e0629921bd832c,vol-0b615dd3ae8169944,,150,2018-10-30T09:59:44+00:00,completed
